lbutton_id;name;lang
gXAL9sETXFQzzgcxh;Huijausviesti;fi
nuQauuRqKwvDebpxp;Hei-maksutavat;fi
NRQJdGzkuWFxT2xSP;Whirlpool / Electrolux;fi
ibTvFm2gjfb7sJgxF;Intempéries/Neige;fr
XztaGnNWuY8CuApm9;Teste - não usar;pt
yTCqTzzveKjbtguXb;Termín;cs
yTCqTzzveKjbtguXb;Termín;sk
y3NFpnzjPpv3TnNDg;Llamada no finalizada;es
i3LQ7SkTAXBHcN4hm;Modelo 347;es
9Jeme2pBtEtDAdD3Z;Ny hyllestøtte til HEMNES;nb
9L7F763d59NGt3rCq;교환환불_단순변심;ko
xGw4m4kSa5znjauhQ;Panele Fotowoltaiczne;pl
YgJjnL236S4XLhDf2;Diritto di restituzione (365 giorni) - cambio di opinione;it-SW
HhukFkc3cSJ9ZBipk;Transfer Aftersales;nl
HhukFkc3cSJ9ZBipk;Transfer Aftersales;fr-BE
mCPyzHsH5zvuNgAvT;Cena;cs
y4GhpvRPpwB4aCaLs;DPD ohne Abstellgenehmigung;de-SW
zQ2wgiQ7Z74DFLjCB;PUSH platba;cs
mCPyzHsH5zvuNgAvT;Cena;sk
47TdtAa7QthYDrGL5;Transfer Transport;nl
47TdtAa7QthYDrGL5;Transfer Transport;fr-BE
ywj6FR5YBC5iMPSwE;NEW WEB;sr
bvEKb94uNCmSBA8AM;Svindel;nb
gvrCEubhgXYhm6s2Q;미해결 상담 재문의;ko
P4XqTj84SP7F2CvtL;PAYBYLINK;ro
L9wsRrt8NEdmx7BHJ;KITCHEN CAMPAIGN;ro
bAugWauYrook33Rfm;KITCHEN CAMPAIGN;en-US
8NYmXg7tWQuhZpPck;KITCHEN CAMPAIGN;en-AU
tCHpPHJPXFfL89fMf;IKEA Westbahnhof;de-AT
aWTRrvhTsZ7ZpfBsp;Krebsessenfest;de-AT
AmuhuYgKn74sPY7Su;COMBO;sr
G5M8GW3G7zJscuzeC;CENA;sr
K22cnmnMudw9jHBY2;PAY BY LINK;sr
XzoAP3pHtFdDQEhQn;PRET;ro
9sswij7Cmd9DMhhqF;IKEA Planning Studio;da
FMjMeZu2AKQjMuudm;Nová stránka IB;cs
FMjMeZu2AKQjMuudm;Nová stránka IB;sk
CXcd2uq9zbcK9qmuZ;Transportcall;nl
CXcd2uq9zbcK9qmuZ;Transportcall;fr-BE
p3dYwbBu7uWHkh7i8;Returns & exchanges policy;en-AU
PMvg7iHvcov7JenpA;SOFE;sr
XkYZ9PAMjEe7AoHpL;Parcel only;de-AT
M6jGF3ojNj6tydcx5;KLARNA;de-AT
6SNDWiRTgGsbzRu6o;IVR Telefonanlage;de-AT
GoWQ6GoNfwc3SbwNP;Test lokal knapp;sv
nC9susxCLX4S5iGqy;NEW WEB;sr
y4GhpvRPpwB4aCaLs;DPD sans autorisation de dépôt;fr-SW
kExEb3dLeQqM9aFPH;Mersalg av produkt eller tjeneste;nb
uC2dGQfiy8Zo4taKm;ISOM;sr
amnexr2pap7CYzPfp;미드솜마르 세일;ko
y4GhpvRPpwB4aCaLs;DPD senza autorizzazione al recapito;it-SW
mJ6dZBW7CRPt5MQtz;Hårde hvidevarer;da
noMsYJwB5wc3AJm9c;Katalog;de-AT
zQ2wgiQ7Z74DFLjCB;PUSH platba;sk
yssJTyKSR7Y5nLjhR;Recruitments for Mumbai;en-US
5uY3ZYNhGc5TbH596;Auslandsanfrage;de-SW
5uY3ZYNhGc5TbH596;Demande de l’étranger;fr-SW
5uY3ZYNhGc5TbH596;Richieste dall’estero;it-SW
aYnAK7iENyZPwtBcL;Verkaufsberatung;de-SW
aYnAK7iENyZPwtBcL;Conseil à la vente;fr-SW
aYnAK7iENyZPwtBcL;Consulenza di vendita;it-SW
YgJjnL236S4XLhDf2;Rückgaberecht (365 Tage) mit Meinungsänderung;de-SW
YgJjnL236S4XLhDf2;Droit de retour (365 jours) - changement d’avis;fr-SW
Bk3aXbZLLiXyiey6Y;Express Premium;de-SW
Bk3aXbZLLiXyiey6Y;Express Premium;fr-SW
Bk3aXbZLLiXyiey6Y;Express Premium;it-SW
PPGjoH8gjotoZj8a9;Időpont;hu
v3h7B4rZpp7Ha5LcN;Abandoned Call;en-US
qPZGxxh72pbfEc2aw;Covershooting;de-AT
o6g6xw8LmwzQr4WsG;That's decided;de-SW
o6g6xw8LmwzQr4WsG;That's decided;fr-SW
o6g6xw8LmwzQr4WsG;That's decided;it-SW
yczYPufqs5s2dJDRm;POP UP STORE iSELL orders;sr
v2Sz8ddmsjDEJGsTM;Grupa MULTI;pl
sbmgdPbiqwYbe3TwQ;BATIBOUW;nl
