rfc_id;description;deleted;whitelisted;whitelisted_at;whitelisted_by;for_delete;for_delete_at;for_delete_by;deleted_mongo_src;deleted_mongo_src_at;deleted_pg_src;deleted_pg_src_at;description_backup
2xuqLPrLM8hjTkqX9;250/50 vom 24.12.2018 -> Gültig ab 14.1.2019 -> Kunde findet seinen Gutschein nicht mehr und wünscht diese erneut zugestellt. Hab ihm mitgeteilt, dass diese nur 6 Monate gültig waren. Teilt mit, dass dies nirgends mitgeteilt wurde. Möchte den Gutschein mit Gültigkeit.;;;;;;;;;;;;
A3dkMtwjQkzq4BmGr;SKORVA Mittelbalken hat gefehlt;;;;;;;;;;;;
hLRWWBA4FvnAjqJAN;La cliente est satisfaite de nos services de livraison et du service après vente;;;;;;;;;;;;
Jcg3z8GhAM9PKbynE;CАК в очереди магазина, свяжутся напрямую с П;;;;;;;;;;;;
yFpnZ3zwr6THCSFhK;1;;;;;;;;;;;;
ZQnrvL73k7SRaPLo6;塗装の禿;;;;;;;;;;;;
hhq6DH7jHfJjmrwLy;FUERA DE FRANJA;;;;;;;;;;;;
dwoPTMPZf8Ey9YFSv;har ett tilgodekort. Sjekker dette;;;;;;;;;;;;
Lusd9GHPwbyGuGCp6;Felanmälan;;;;;;;;;;;;
MTYXr38JG83n23WuZ;"не смог оформить заказ. \"Произошла неизвестная ошибка\" при нажатии кнопки купить";;;;;;;;;;;;
JbampZWN5JaPSmnai;https://www.facebook.com/IKEAru/photos/a.154275397920314/3088772134470611/?type=3&av=152480791433108&eav=AfaXe2B8h9ltPFH9YWNDjjy_qqzzPAlH02NpDXgEkY1IFrFb11qFpjEHUVivxuqWdr4&theater А электричество в машины чистое заливаете?;;;;;;;;;;;;
TR698hQ6gmXWXcwxS;.;;;;;;;;;;;;
SWjpk8vpJiSiZhYoq;veut savoir disp service de montage;;;;;;;;;;;;
McAAEE32TB8hGFb6H;1 8748448;;;;;;;;;;;;
FE7cYSXC4vWyNCq5D;Cliente souhaitait savoir si nous vendions toujours des plaids polaire avec manches.;;;;;;;;;;;;
7WjufvrBBXMK6kA2j;付属品アダプタが入ってない ;;;;;;;;;;;;
YTbHiLATBYbj4ghsg;klant gebeld ipv te mailen;;;;;;;;;;;;
wbQgFhqLeLB6Wq5Tm;veux remplace3r une piece;;;;;;;;;;;;
F6Tovt8jwzZDgXkgK;можно ли в оплаченный интернет заказ добавить товар?;;;;;;;;;;;;
QZRbzcdMKDbFiCwCn;рф;;;;;;;;;;;;
gjpQM3NzEj2eTY8Pm;Jacke im Restaurant vergessen.;;;;;;;;;;;;
emypRKX8QsiR9AtQd;組み立て中、木材にパーツ141250を取り付けようとしたところ、どのようにやっても寸法が合いません。 ;;;;;;;;;;;;
tmEtToXc2h53Ma6fK;as kertoi laatuongelmasta HOLMSUND-divaaniosan kanssa;;;;;;;;;;;;
7zvvNzYQKQ7SPGqAL;​issue: cx wants to know status of delivery and wants to add few details of address resolution: informed cx that it will be delivered within the slot i.e on 23.12.2019 before 8pm and modified address in centiro ;;;;;;;;;;;;
r2SoroHQK3EQd2ER5;nevyhovuje;;;;;;;;;;;;
94N8sGQw8Da3C7D5M; Исправить ошибку в счете;;;;;;;;;;;;
WJkbvyKuEqZcNdtQQ;VZ nicht erhalten.;;;;;;;;;;;;
27gZc7pikpZGaXAts;Erklärung Lieferschein (Altmatratzenentsorgung aufgeführt usw.);;;;;;;;;;;;
DMCTEAYEuFShed9ER;franja;;;;;;;;;;;;
r3wK2CEs97AttGxgF;5;;;;;;;;;;;;
azKHtcTHWSPgapa86;組み立て完了した時、1番上の引き出しが1番上の板に当たって閉まらない ;;;;;;;;;;;;
9bXZvvTafo86MDWkx;roskaposti;;;;;;;;;;;;
4cNL8Zc6LXigZPeST;Går ej att spänna åt skruvarna;;;;;;;;;;;;
ty9FiWTzQjY23wMnF;je li kantirana;;;;;;;;;;;;
iXjbg4bjuZXMz2sM5;felanmälan;;;;;;;;;;;;
qJTabNGqLEo7YE4rK;franja;;;;;;;;;;;;
Y6MQ9aScgpuYaRPyN;Issue:Cux called as he is unable to place an order through the app and he is getting some errors. want to know about mumbai store. Resolution: Infromed him that the purchase cant be made online as of now and asked him to order through the web and few articles which are available in hyd may not be available in Mumbai so once after adding article in cart asked him to choose online option so that he will be able to get the details if that is available and informed him that the store is in construction now and not sure about the launch date.​;;;;;;;;;;;;
S2AbZ2L5mXdMG3rKX;014-8761076 105168303 Доброе время суток. По заказу 105168303 был недопоставлен товар с артикулом 203.649.28. Вместо указанного товара положили товар с артикулом 003.679.18 из заказа 105157380. Фото товара прилагаю. Как мне получить товар с артикулом 203.649.28? -- Отправлено из Mail.ru для Android ;;;;;;;;;;;;
sCa3Ngph8djPHhGpu;serviseri;;;;;;;;;;;;
9o8Cqywsf72PuuGeZ;1069966872 falsche Ware erhalten ;;;;;;;;;;;;
FqzphsiM7XF49oQ8T;felanmäla;;;;;;;;;;;;
tAxrg6xgHuzX4yPRA;25 godina;;;;;;;;;;;;
zBzdeW8nAKTYfH3Rc;Belöna nachbuchen;;;;;;;;;;;;
pwvMrcBoKxjyGzXxW;popis po elementima;;;;;;;;;;;;
DaN4GD9e4mdSPFGHe;franja;;;;;;;;;;;;
4qteRGrjrR4GjXZfK;colchones de 80*1.80;;;;;;;;;;;;
F6uHtiR5vWxnyTJuP;express mt Verspätet;;;;;;;;;;;;
WuEzdkSEq7nwPhdya;Klant kan niet via paylink betalen omdat hij limiet heeft voor online betalingen;;;;;;;;;;;;
B8PZu5rCjpGmFy4Wx;Заказ 105317092 П уточняет интервал Д;;;;;;;;;;;;
cfqi6mFTd5TwKKmTn;se gestiona incidencia correctamente;;;;;;;;;;;;
5YX8oZSWTTAEmhZRv;en franja;;;;;;;;;;;;
Dpwf8CdkoAoJi8wDo;.;;;;;;;;;;;;
MhyRcdioHz4hHJQJ5;5;;;;;;;;;;;;
GArce24JsHJLkyZYq;NO VIENEN INSTRUCCIONES DE MONTAJE EN EL PRODCUTO;;;;;;;;;;;;
XxhxLazmejAiKqnSd;Klant blij met service aftersales en monteur;;;;;;;;;;;;
PGrjN57rjyQTkMwhF;.;;;;;;;;;;;;
tDZuvPJwvPzYGj7Hy;8372451;;;;;;;;;;;;
itemTppo8R674mWQM;jak vracet;;;;;;;;;;;;
4bzo5keQ69iXp8Zcy;ふたを開けたらカビが生えていた。開封する際に、ポンという音がせず簡単に開いたのでおかしいと思った。 ;;;;;;;;;;;;
iF4Ki84GMqBuNLzK6;Bestellbestätigung Click&Collect;;;;;;;;;;;;
vCN4STtM46Z3vdgPp;FRANJA;;;;;;;;;;;;
T5aXgu7muRt2aqrm3;framja;;;;;;;;;;;;
Y72xrndXN7t3zaZyx;1070704223;;;;;;;;;;;;
xyAdjT3e5QXZdGHkn;5;;;;;;;;;;;;
ZLqEk9x5xvuDKnTd8;подьемный механизм сломался, стулу менее года;;;;;;;;;;;;
C6KJsxoMdmLhrPCAt;Hat Mahngebühren erhalten und will sie nicht zahlen;;;;;;;;;;;;
AMzvfLJKziBcPztSu;105376876;;;;;;;;;;;;
eRsTJkckCMAbpE9Ef;3;;;;;;;;;;;;
iNPvPdCm6ezXLbKH9;4940788　CBに出られなかった;;;;;;;;;;;;
ujZqDQEAW3LPQrv7Y;1. sac 8761011;;;;;;;;;;;;
4KDt9PYc8AnqbpHnS;1 105293603;;;;;;;;;;;;
2W6TF7k47bv7hNaPK;plans cuisine;;;;;;;;;;;;
gqC2HcCehc6AkcLSK;Kunde mener han ikke har bestilt flere av varene han har lagt inn på IKEA.no;;;;;;;;;;;;
7HTmJf2pumQPbNmh8;KSC-15827884, dubbelmail, 2:a;;;;;;;;;;;;
Yb8ygxDThGycqsuPF;Client mécontent concernant la disponibilité de la table SKOGSTA en magasin.;;;;;;;;;;;;
Ab2PLymPbF9fjn6dk;zmywarka zalewa mieszkanie;;;;;;;;;;;;
pHYSt2A9kbRdFN4ZC;unberechtigte Mahnung von Inkasso Plöckl;;;;;;;;;;;;
5ie9sSCqeT5ZT5DhF;рф;;;;;;;;;;;;
2EDA6WvFiHT3j3aKY;FUERA DE FRANJA;;;;;;;;;;;;
t4YjQPBpHsWZ3j5Fy;sollecito;;;;;;;;;;;;
jhdLBGwTsedvxugaZ;Issue: cx have placed order online but didn't receive confirmation email. Resolution: Informed him we will check with transaction status and get back within sometime;;;;;;;;;;;;
hbxmXMz7gBP2WnmyH;pagina dei pagamenti di blocca ;;;;;;;;;;;;
MhF2zRMrBSF7eKHvh;customer was uanble to place the order through online ;;;;;;;;;;;;
yL9n8wx3DXCjcYtzh;sac 5860967;;;;;;;;;;;;
8xBtjFmLFh4LPxBCn;"issue: cx want to confirm the quantity of the panels as the she is exchanging the articles with  a different size. resolution; inform the cx that the auli panels are been exchanged which is in 2 quantity.";;;;;;;;;;;;
Zy8m63bTxRgyFkCDb;1;;;;;;;;;;;;
583SDo7K7uDpPs8ts;en franja;;;;;;;;;;;;
oo2iftPiPT4uPmjYb;1064745552;;;;;;;;;;;;
PsJJxcwyWMhrREK9M;105314983;;;;;;;;;;;;
Mv8ref7BevS9SWZb9; Самовывоз через ТК. согласование;;;;;;;;;;;;
eMwpP7vMxomvj2mSH;KSC-15827884, fler bilder, tredje;;;;;;;;;;;;
xPpNu9afnf6fnZhiv;Fuera de Franja;;;;;;;;;;;;
xhz7Cfviw2zeWJDwG;verfügbar;;;;;;;;;;;;
tDe27hbGSN9cPeQ3T;"ООО \"ГК ЭнергоПроф\". П составили договор с ошибкой в юр адресе. П прислал письмо с исправлением 18.12, но оно не было рассмотрено";;;;;;;;;;;;
mba53aCE4kaubdxvy;ruotsinkielinen fb-kontakti;;;;;;;;;;;;
wGFXMNexMEoGZhBG2;COCINAS;;;;;;;;;;;;
DqsxMqHxeqseEWKq5;Hvor langt den var;;;;;;;;;;;;
tSxJ9iHThKk4MYAJi;Schubladen schließen nicht und schleifen;;;;;;;;;;;;
g2TcpRSohNdAyMp5K;1 og 2 ;;;;;;;;;;;;
KyE8dLNYKWE5nrvpH;покупатель хотел внести изменения в уже оплаченный заказ;;;;;;;;;;;;
HCpDxTsJzQrxNa5Ax;EN FRANJA;;;;;;;;;;;;
qCECPvezPYt9yLN4h;105303725;;;;;;;;;;;;
yyewyrPfpcJZpiwZa;Сотрудник магазина ИКЕА Белая Дача сообщил покупателю, что сборку оффлайн-заказа ему смогут оформить в ЦПК. П-ль проживает в области и был очень недоволен и удивлён тому факту, что его так дезиноформировали. ;;;;;;;;;;;;
SJJndepGrpEpx3pEA;"Issue: cx sent an email with the article pictures and is asking for compensation as he claims it is damaged Resolution; forwarded it to the recovery team and said cx as and when we have an update we will inform you.";;;;;;;;;;;;
gZoyLRHThNeb8Ab4d;servicio tecnico ;;;;;;;;;;;;
hof2PTtrRLfhFJ2iS;Returpolitik;;;;;;;;;;;;
gKpETgMeFTMWZ8p5g;nlog;;;;;;;;;;;;
yqTNMDkh4wWMdoWme;KSC-15827884 , samma bilder igen, fjärde;;;;;;;;;;;;
f4MynnpNgQ9HDjr5e;014-8761043;;;;;;;;;;;;
TFcXBFL6Jugyd9LrZ;С-Пб. Британская школа С-Пб. Просили в заявке контейнера, а в счет включили защелки.;;;;;;;;;;;;
F4BcyXgTsP6HxcTkQ;работает ли магазин. На прошлой неделе был закрыт на эвакуацию;;;;;;;;;;;;
